INDEX,pop_daytime_fishnet500,pop_nighttime_fishnet500,ACC_ACD,ACC_COM,ACC_ET,ACC_LS,DEN_FLOOR,DEN_BUILT,DEN_WALK,DEN_DRIVE,DEN_EVI,DEN_MNDWI,DIS_METRO,DIS_BUS,ACC_CBD,DEN_EXCHANGE,DEN_BUS
G500-421,8.6,9.7,0,2,12,2,0.0,0.0,0.0,0.00282,0.382247,0.002036,10.374569,0.162761,58.774197,0.0,4
G500-422,2.397321,3.2,0,0,5,2,0.0,0.0,0.002619,0.00297,0.495521,0.005455,10.403827,0.371383,59.020328,0.0,0
G500-423,10.155556,11.333333,0,0,1,0,0.0,0.0,0.0,0.0,0.405454,0.017285,10.456939,0.565408,59.269654,0.0,0
G500-424,6.6,8.833333,3,0,0,0,0.0,0.0,0.003743,0.00236,0.616355,0.001516,10.533543,0.464915,59.522136,0.0,0
G500-425,6.977778,6.94,1,2,0,0,0.0,0.0,0.001817,0.000522,0.378196,0.10017,10.633131,0.359357,59.777734,0.0,0
G500-426,7.828571,8.82,0,0,0,0,0.0,0.0,0.0,0.0,0.139272,0.228138,10.755065,0.566294,60.036408,0.0,0
G500-431,2.95,1.873333,0,0,0,0,0.0,0.0,0.0,0.003937,0.245538,0.354052,12.162527,0.421294,61.929959,0.0,0
G500-432,5.888889,8.033333,0,1,0,0,0.0,0.0,0.0,0.004048,0.326896,0.079887,12.431211,0.16633,62.211837,0.0,1
G500-434,6.366667,5.291667,0,2,0,1,0.0,0.0,0.001058,0.001613,0.07949,0.031879,13.009647,0.505647,62.783742,0.0,0
G500-435,3.961111,3.116667,0,0,0,1,0.0,0.0,0.005991,0.0,0.050204,0.008121,13.317615,0.498658,63.073696,0.0,0
G500-436,2.102381,2.24,0,0,0,0,0.0,0.0,0.008021,0.0,0.0,0.0,13.636965,0.857565,63.366268,0.0,0
G500-440,3.855556,4.193333,0,0,0,1,0.0,0.0,0.003313,0.0,0.23395,0.341826,10.585223,1.112122,56.257929,0.0,0
G500-441,9.911111,9.566667,0,0,0,0,0.0,0.0,0.001944,0.00073,0.671006,0.0,10.505112,0.612319,56.475192,0.0,0
G500-442,11.555556,8.2,0,4,1,0,0.0,0.0,0.003258,0.007173,0.583531,0.0,10.356526,0.114256,56.696033,0.0,2
G500-444,2.517857,2.836667,0,0,0,0,0.0,0.0,0.0,0.0,0.556301,0.049033,10.098195,0.887942,57.148279,0.0,0
G500-447,10.333333,9.333333,0,0,0,0,0.0,0.0,0.0,0.005329,0.629336,0.001516,9.889256,0.391969,57.852434,0.0,0
G500-448,6.58373,5.786667,0,3,13,9,0.0,0.0,0.001657,0.004579,0.475523,0.005108,9.869414,0.200793,58.093863,0.0,6
G500-450,1.981151,3.2125,0,0,0,0,0.0,0.0,0.000114,0.000114,0.58591,0.005588,9.905616,0.687976,58.586539,0.0,0
